Tanggal,Komoditas,Provinsi,Harga
16/04/2022,Minyak Goreng Kemasan,Sulawesi Utara,26300.0
17/04/2022,Minyak Goreng Kemasan,Gorontalo,26117.0
17/04/2022,Minyak Goreng Kemasan,Sulawesi Barat,22833.0
17/04/2022,Minyak Goreng Kemasan,Sulawesi Selatan,21167.0
17/04/2022,Minyak Goreng Kemasan,Sulawesi Tengah,29875.0
17/04/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,34406.0
17/04/2022,Minyak Goreng Kemasan,Sulawesi Utara,26367.0
18/04/2022,Minyak Goreng Kemasan,Gorontalo,26117.0
18/04/2022,Minyak Goreng Kemasan,Sulawesi Barat,22833.0
18/04/2022,Minyak Goreng Kemasan,Sulawesi Selatan,21238.0
18/04/2022,Minyak Goreng Kemasan,Sulawesi Tengah,30136.0
18/04/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,34118.0
18/04/2022,Minyak Goreng Kemasan,Sulawesi Utara,26533.0
19/04/2022,Minyak Goreng Kemasan,Gorontalo,26151.0
19/04/2022,Minyak Goreng Kemasan,Sulawesi Barat,22833.0
19/04/2022,Minyak Goreng Kemasan,Sulawesi Selatan,21929.0
19/04/2022,Minyak Goreng Kemasan,Sulawesi Tengah,30727.0
19/04/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,34294.0
19/04/2022,Minyak Goreng Kemasan,Sulawesi Utara,26433.0
20/04/2022,Minyak Goreng Kemasan,Gorontalo,26266.0
20/04/2022,Minyak Goreng Kemasan,Sulawesi Barat,23200.0
20/04/2022,Minyak Goreng Kemasan,Sulawesi Selatan,21583.0
20/04/2022,Minyak Goreng Kemasan,Sulawesi Tengah,29667.0
20/04/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,33500.0
20/04/2022,Minyak Goreng Kemasan,Sulawesi Utara,26400.0
21/04/2022,Minyak Goreng Kemasan,Gorontalo,
21/04/2022,Minyak Goreng Kemasan,Sulawesi Barat,27250.0
21/04/2022,Minyak Goreng Kemasan,Sulawesi Selatan,28274.0
21/04/2022,Minyak Goreng Kemasan,Sulawesi Tengah,29805.0
21/04/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,33867.0
21/04/2022,Minyak Goreng Kemasan,Sulawesi Utara,26467.0
22/04/2022,Minyak Goreng Kemasan,Gorontalo,
22/04/2022,Minyak Goreng Kemasan,Sulawesi Barat,27600.0
22/04/2022,Minyak Goreng Kemasan,Sulawesi Selatan,28361.0
22/04/2022,Minyak Goreng Kemasan,Sulawesi Tengah,29470.0
22/04/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,33941.0
22/04/2022,Minyak Goreng Kemasan,Sulawesi Utara,26286.0
23/04/2022,Minyak Goreng Kemasan,Gorontalo,
23/04/2022,Minyak Goreng Kemasan,Sulawesi Barat,28667.0
23/04/2022,Minyak Goreng Kemasan,Sulawesi Selatan,28252.0
23/04/2022,Minyak Goreng Kemasan,Sulawesi Tengah,29561.0
23/04/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,33688.0
23/04/2022,Minyak Goreng Kemasan,Sulawesi Utara,26093.0
24/04/2022,Minyak Goreng Kemasan,Gorontalo,30000.0
24/04/2022,Minyak Goreng Kemasan,Sulawesi Barat,28333.0
24/04/2022,Minyak Goreng Kemasan,Sulawesi Selatan,28622.0
24/04/2022,Minyak Goreng Kemasan,Sulawesi Tengah,29936.0
24/04/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,34118.0
24/04/2022,Minyak Goreng Kemasan,Sulawesi Utara,26229.0
25/04/2022,Minyak Goreng Kemasan,Gorontalo,30000.0
25/04/2022,Minyak Goreng Kemasan,Sulawesi Barat,28667.0
25/04/2022,Minyak Goreng Kemasan,Sulawesi Selatan,28513.0
25/04/2022,Minyak Goreng Kemasan,Sulawesi Tengah,30014.0
25/04/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,34071.0
25/04/2022,Minyak Goreng Kemasan,Sulawesi Utara,26607.0
26/04/2022,Minyak Goreng Kemasan,Gorontalo,30000.0
26/04/2022,Minyak Goreng Kemasan,Sulawesi Barat,28333.0
26/04/2022,Minyak Goreng Kemasan,Sulawesi Selatan,28470.0
26/04/2022,Minyak Goreng Kemasan,Sulawesi Tengah,29556.0
26/04/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,33922.0
26/04/2022,Minyak Goreng Kemasan,Sulawesi Utara,26500.0
27/04/2022,Minyak Goreng Kemasan,Gorontalo,
27/04/2022,Minyak Goreng Kemasan,Sulawesi Barat,28333.0
27/04/2022,Minyak Goreng Kemasan,Sulawesi Selatan,28536.0
27/04/2022,Minyak Goreng Kemasan,Sulawesi Tengah,29972.0
27/04/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,33804.0
27/04/2022,Minyak Goreng Kemasan,Sulawesi Utara,26164.0
28/04/2022,Minyak Goreng Kemasan,Gorontalo,
28/04/2022,Minyak Goreng Kemasan,Sulawesi Barat,28333.0
28/04/2022,Minyak Goreng Kemasan,Sulawesi Selatan,28335.0
28/04/2022,Minyak Goreng Kemasan,Sulawesi Tengah,29621.0
28/04/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,33392.0
28/04/2022,Minyak Goreng Kemasan,Sulawesi Utara,25786.0
29/04/2022,Minyak Goreng Kemasan,Gorontalo,
29/04/2022,Minyak Goreng Kemasan,Sulawesi Barat,28000.0
29/04/2022,Minyak Goreng Kemasan,Sulawesi Selatan,28291.0
29/04/2022,Minyak Goreng Kemasan,Sulawesi Tengah,29315.0
29/04/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,33392.0
29/04/2022,Minyak Goreng Kemasan,Sulawesi Utara,25467.0
30/04/2022,Minyak Goreng Kemasan,Gorontalo,
30/04/2022,Minyak Goreng Kemasan,Sulawesi Barat,27333.0
30/04/2022,Minyak Goreng Kemasan,Sulawesi Selatan,28204.0
30/04/2022,Minyak Goreng Kemasan,Sulawesi Tengah,30014.0
30/04/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,33178.0
30/04/2022,Minyak Goreng Kemasan,Sulawesi Utara,25600.0
01/05/2022,Minyak Goreng Kemasan,Gorontalo,
01/05/2022,Minyak Goreng Kemasan,Sulawesi Barat,27500.0
01/05/2022,Minyak Goreng Kemasan,Sulawesi Selatan,27987.0
01/05/2022,Minyak Goreng Kemasan,Sulawesi Tengah,29667.0
01/05/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,33292.0
01/05/2022,Minyak Goreng Kemasan,Sulawesi Utara,25400.0
02/05/2022,Minyak Goreng Kemasan,Gorontalo,
02/05/2022,Minyak Goreng Kemasan,Sulawesi Barat,28000.0
02/05/2022,Minyak Goreng Kemasan,Sulawesi Selatan,28529.0
02/05/2022,Minyak Goreng Kemasan,Sulawesi Tengah,29958.0
02/05/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,31500.0
02/05/2022,Minyak Goreng Kemasan,Sulawesi Utara,25429.0
03/05/2022,Minyak Goreng Kemasan,Gorontalo,
03/05/2022,Minyak Goreng Kemasan,Sulawesi Barat,28667.0
03/05/2022,Minyak Goreng Kemasan,Sulawesi Selatan,27935.0
03/05/2022,Minyak Goreng Kemasan,Sulawesi Tengah,29972.0
03/05/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,31929.0
03/05/2022,Minyak Goreng Kemasan,Sulawesi Utara,25500.0
04/05/2022,Minyak Goreng Kemasan,Gorontalo,
04/05/2022,Minyak Goreng Kemasan,Sulawesi Barat,28250.0
04/05/2022,Minyak Goreng Kemasan,Sulawesi Selatan,28139.0
04/05/2022,Minyak Goreng Kemasan,Sulawesi Tengah,29806.0
04/05/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,33088.0
04/05/2022,Minyak Goreng Kemasan,Sulawesi Utara,25267.0
05/05/2022,Minyak Goreng Kemasan,Gorontalo,
05/05/2022,Minyak Goreng Kemasan,Sulawesi Barat,26833.0
05/05/2022,Minyak Goreng Kemasan,Sulawesi Selatan,28226.0
05/05/2022,Minyak Goreng Kemasan,Sulawesi Tengah,29708.0
05/05/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,33088.0
05/05/2022,Minyak Goreng Kemasan,Sulawesi Utara,25600.0
06/05/2022,Minyak Goreng Kemasan,Gorontalo,
06/05/2022,Minyak Goreng Kemasan,Sulawesi Barat,27000.0
06/05/2022,Minyak Goreng Kemasan,Sulawesi Selatan,28009.0
06/05/2022,Minyak Goreng Kemasan,Sulawesi Tengah,29792.0
06/05/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,32538.0
06/05/2022,Minyak Goreng Kemasan,Sulawesi Utara,25357.0
07/05/2022,Minyak Goreng Kemasan,Gorontalo,
07/05/2022,Minyak Goreng Kemasan,Sulawesi Barat,26833.0
07/05/2022,Minyak Goreng Kemasan,Sulawesi Selatan,28030.0
07/05/2022,Minyak Goreng Kemasan,Sulawesi Tengah,28708.0
07/05/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,33088.0
07/05/2022,Minyak Goreng Kemasan,Sulawesi Utara,25333.0
08/05/2022,Minyak Goreng Kemasan,Gorontalo,
08/05/2022,Minyak Goreng Kemasan,Sulawesi Barat,27500.0
08/05/2022,Minyak Goreng Kemasan,Sulawesi Selatan,28030.0
08/05/2022,Minyak Goreng Kemasan,Sulawesi Tengah,30045.0
08/05/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,32882.0
08/05/2022,Minyak Goreng Kemasan,Sulawesi Utara,25333.0
09/05/2022,Minyak Goreng Kemasan,Gorontalo,
09/05/2022,Minyak Goreng Kemasan,Sulawesi Barat,26667.0
09/05/2022,Minyak Goreng Kemasan,Sulawesi Selatan,27835.0
09/05/2022,Minyak Goreng Kemasan,Sulawesi Tengah,29727.0
09/05/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,32231.0
09/05/2022,Minyak Goreng Kemasan,Sulawesi Utara,25267.0
10/05/2022,Minyak Goreng Kemasan,Gorontalo,
10/05/2022,Minyak Goreng Kemasan,Sulawesi Barat,27667.0
10/05/2022,Minyak Goreng Kemasan,Sulawesi Selatan,27965.0
10/05/2022,Minyak Goreng Kemasan,Sulawesi Tengah,29455.0
10/05/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,32412.0
10/05/2022,Minyak Goreng Kemasan,Sulawesi Utara,25267.0
11/05/2022,Minyak Goreng Kemasan,Gorontalo,
